Period,Load_MW,Unit_1_MW,Unit_2_MW,Unit_5_MW,Unit_8_MW,Unit_11_MW,Unit_13_MW,Total_Generation_MW
1,166,50.0,52.20973033998567,20.618724495195988,19.624733926828444,11.546811237989976,12.0,166.00000000000009
2,196,50.0,58.58292849399767,22.40321997831935,32.99775163608625,16.008049945798376,16.008049945798387,196.0
3,229,53.867791842475384,68.70604781997187,25.237693389592124,35.0,23.09423347398031,23.09423347398031,229.0
4,257,60.759493670886066,76.58227848101264,27.44303797468354,35.0,28.607594936708864,28.60759493670885,256.99999999999994
5,263,62.23628691983123,78.27004219409282,27.915611814345993,35.0,29.789029535864973,29.78902953586498,263.0
6,252,59.52883263009845,75.1758087201125,27.049226441631504,35.0,27.62306610407876,27.62306610407876,251.99999999999997
7,246,58.05203938115331,73.48804500703234,26.57665260196906,35.0,26.44163150492265,26.441631504922647,246.0
8,213,50.0,64.17910447761193,23.970149253731343,35.0,19.925373134328353,19.925373134328353,213.0
9,192,50.0,57.745814429678404,22.168828040309954,31.241217328461886,15.422070100774887,15.422070100774889,192.0
10,161,50.0,50.983735726129865,20.27544600331636,17.052203262262925,10.68861500829091,12.0,161.00000000000006
11,147,50.0,46.09375,18.906250000000004,10.0,10.0,12.0,147.0
12,160,50.0,50.7385368033587,20.206790304940437,16.537697129349798,10.516975762351095,12.0,160.00000000000006
13,170,50.0,53.141687075922434,20.879672381258285,21.58027863652791,12.199180953145714,12.199180953145701,170.00000000000006
14,185,50.0,56.28086481711969,21.758642148793516,28.167282290119275,14.39660537198379,14.396605371983778,185.00000000000006
15,208,50.0,62.31343283582089,23.44776119402985,35.0,18.619402985074622,18.61940298507463,208.0
16,232,54.606188466947955,69.54992967651195,25.473980309423347,35.0,23.68495077355837,23.684950773558374,232.0
17,246,58.05203938115331,73.48804500703234,26.57665260196906,35.0,26.44163150492264,26.441631504922647,246.0
18,241,56.82137834036569,72.08157524613222,26.18284106891702,35.0,25.45710267229255,25.457102672292542,241.0
19,236,55.590717299578074,70.67510548523207,25.789029535864984,35.0,24.47257383966246,24.47257383966246,236.00000000000006
20,225,52.88326300984529,67.58087201125176,24.922644163150494,35.0,22.306610407876235,22.306610407876235,225.0
21,204,50.0,60.82089552238806,23.029850746268657,35.0,17.574626865671647,17.57462686567164,204.0
22,182,50.0,55.65302926888023,21.582848195286466,26.84988155940097,13.957120488216162,13.957120488216162,182.0
23,161,50.0,50.98373572612984,20.275446003316357,17.05220326226287,10.688615008290903,12.0,160.99999999999997
24,131,50.0,33.59375,15.40625,10.0,10.0,12.0,131.0
