Period,Load_MW,Unit_1_Status,Unit_1_Generation_MW,Unit_2_Status,Unit_2_Generation_MW,Unit_5_Status,Unit_5_Generation_MW,Unit_8_Status,Unit_8_Generation_MW,Unit_11_Status,Unit_11_Generation_MW,Unit_13_Status,Unit_13_Generation_MW,Total_Generation_MW
1,166,1,50.0,1,52.20973033998567,1,20.618724495195988,1,19.624733926828444,1,11.546811237989976,1,12.0,166.00000000000009
2,196,1,50.0,1,58.58292849399767,1,22.40321997831935,1,32.99775163608625,1,16.008049945798376,1,16.008049945798387,196.0
3,229,1,53.867791842475384,1,68.70604781997187,1,25.237693389592124,1,35.0,1,23.09423347398031,1,23.09423347398031,229.0
4,257,1,60.759493670886066,1,76.58227848101264,1,27.44303797468354,1,35.0,1,28.607594936708864,1,28.60759493670885,256.99999999999994
5,263,1,62.23628691983123,1,78.27004219409282,1,27.915611814345993,1,35.0,1,29.789029535864973,1,29.78902953586498,263.0
6,252,1,59.52883263009845,1,75.1758087201125,1,27.049226441631504,1,35.0,1,27.62306610407876,1,27.62306610407876,251.99999999999997
7,246,1,58.05203938115331,1,73.48804500703234,1,26.57665260196906,1,35.0,1,26.44163150492265,1,26.441631504922647,246.0
8,213,1,50.0,1,64.17910447761193,1,23.970149253731343,1,35.0,1,19.925373134328353,1,19.925373134328353,213.0
9,192,1,50.0,1,57.745814429678404,1,22.168828040309954,1,31.241217328461886,1,15.422070100774887,1,15.422070100774889,192.0
10,161,1,50.0,1,50.983735726129865,1,20.27544600331636,1,17.052203262262925,1,10.68861500829091,1,12.0,161.00000000000006
11,147,1,50.0,1,46.09375,1,18.906250000000004,1,10.0,1,10.0,1,12.0,147.0
12,160,1,50.0,1,50.7385368033587,1,20.206790304940437,1,16.537697129349798,1,10.516975762351095,1,12.0,160.00000000000006
13,170,1,50.0,1,53.141687075922434,1,20.879672381258285,1,21.58027863652791,1,12.199180953145714,1,12.199180953145701,170.00000000000006
14,185,1,50.0,1,56.28086481711969,1,21.758642148793516,1,28.167282290119275,1,14.39660537198379,1,14.396605371983778,185.00000000000006
15,208,1,50.0,1,62.31343283582089,1,23.44776119402985,1,35.0,1,18.619402985074622,1,18.61940298507463,208.0
16,232,1,54.606188466947955,1,69.54992967651195,1,25.473980309423347,1,35.0,1,23.68495077355837,1,23.684950773558374,232.0
17,246,1,58.05203938115331,1,73.48804500703234,1,26.57665260196906,1,35.0,1,26.44163150492264,1,26.441631504922647,246.0
18,241,1,56.82137834036569,1,72.08157524613222,1,26.18284106891702,1,35.0,1,25.45710267229255,1,25.457102672292542,241.0
19,236,1,55.590717299578074,1,70.67510548523207,1,25.789029535864984,1,35.0,1,24.47257383966246,1,24.47257383966246,236.00000000000006
20,225,1,52.88326300984529,1,67.58087201125176,1,24.922644163150494,1,35.0,1,22.306610407876235,1,22.306610407876235,225.0
21,204,1,50.0,1,60.82089552238806,1,23.029850746268657,1,35.0,1,17.574626865671647,1,17.57462686567164,204.0
22,182,1,50.0,1,55.65302926888023,1,21.582848195286466,1,26.84988155940097,1,13.957120488216162,1,13.957120488216162,182.0
23,161,1,50.0,1,50.98373572612984,1,20.275446003316357,1,17.05220326226287,1,10.688615008290903,1,12.0,160.99999999999997
24,131,1,50.0,1,33.59375,1,15.40625,1,10.0,1,10.0,1,12.0,131.0
