Period,Load_MW,Unit_1_Generation_MW,Unit_2_Generation_MW,Unit_5_Generation_MW,Unit_8_Generation_MW,Unit_11_Generation_MW,Unit_13_Generation_MW,Total_Generation_MW
1,166.0,50.0,73.33333333333334,15.0,18.333333333333336,10.0,12.0,178.66666666666669
2,196.0,50.0,73.33333333333334,26.666666666666664,35.0,16.666666666666668,12.0,213.66666666666666
3,229.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,21.333333333333336,229.66666666666669
4,257.0,50.0,73.33333333333334,26.666666666666664,35.0,30.0,30.666666666666668,245.66666666666666
5,263.0,50.0,73.33333333333334,26.666666666666664,35.0,30.0,30.666666666666668,245.66666666666666
6,252.0,50.0,73.33333333333334,26.666666666666664,35.0,30.0,30.666666666666668,245.66666666666666
7,246.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,30.666666666666668,239.0
8,213.0,50.0,73.33333333333334,26.666666666666664,35.0,16.666666666666668,21.333333333333336,223.0
9,192.0,50.0,73.33333333333334,26.666666666666664,35.0,16.666666666666668,12.0,213.66666666666666
10,161.0,50.0,73.33333333333334,15.0,18.333333333333336,10.0,12.0,178.66666666666669
11,147.0,50.0,20.0,15.0,10.0,10.0,12.0,117.0
12,160.0,50.0,73.33333333333334,15.0,18.333333333333336,10.0,12.0,178.66666666666669
13,170.0,50.0,73.33333333333334,26.666666666666664,18.333333333333336,10.0,12.0,190.33333333333334
14,185.0,50.0,73.33333333333334,26.666666666666664,26.666666666666668,16.666666666666668,12.0,205.33333333333331
15,208.0,50.0,73.33333333333334,26.666666666666664,35.0,16.666666666666668,21.333333333333336,223.0
16,232.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,21.333333333333336,229.66666666666669
17,246.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,30.666666666666668,239.0
18,241.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,21.333333333333336,229.66666666666669
19,236.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,21.333333333333336,229.66666666666669
20,225.0,50.0,73.33333333333334,26.666666666666664,35.0,23.333333333333336,21.333333333333336,229.66666666666669
21,204.0,50.0,73.33333333333334,26.666666666666664,35.0,16.666666666666668,21.333333333333336,223.0
22,182.0,50.0,73.33333333333334,26.666666666666664,26.666666666666668,16.666666666666668,12.0,205.33333333333331
23,161.0,50.0,73.33333333333334,15.0,18.333333333333336,10.0,12.0,178.66666666666669
24,131.0,50.0,20.0,15.0,10.0,10.0,12.0,117.0
