Period,Load_MW,Unit_1_Generation_MW,Unit_2_Generation_MW,Unit_5_Generation_MW,Unit_8_Generation_MW,Unit_11_Generation_MW,Unit_13_Generation_MW,Total_Generation_MW
1,166.0,50.0,20.0,15.0,10.0,30.0,40.0,165.0
2,212.5,50.0,20.0,50.0,10.0,30.0,40.0,200.0
3,257.0,50.0,180.0,15.0,10.0,10.0,12.0,277.0
4,257.5,50.0,180.0,15.0,10.0,10.0,12.0,277.0
5,246.0,50.0,20.0,50.0,35.0,30.0,40.0,225.0
6,202.5,50.0,20.0,50.0,35.0,10.0,40.0,205.0
7,161.0,50.0,20.0,50.0,10.0,10.0,12.0,152.0
8,153.5,50.0,20.0,50.0,10.0,10.0,12.0,152.0
9,170.0,50.0,20.0,50.0,10.0,30.0,12.0,172.0
10,196.5,50.0,20.0,50.0,10.0,30.0,40.0,200.0
11,232.0,50.0,20.0,50.0,35.0,30.0,40.0,225.0
12,243.5,50.0,20.0,50.0,35.0,30.0,40.0,225.0
13,236.0,50.0,20.0,50.0,35.0,30.0,40.0,225.0
14,214.5,50.0,20.0,50.0,35.0,10.0,40.0,205.0
15,182.0,50.0,20.0,50.0,35.0,10.0,12.0,177.0
16,146.0,50.0,20.0,15.0,35.0,10.0,12.0,142.0
